부산광역시_자전거대여소_20230822.csv관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
26290-00033,소공원,소공원,-,부산광역시 남구 문현동 769-4,35.143052,129.066072,4175,-,-,-,-,-,2008-05-21,-,-,2018-08-14,3310000,부산광역시 남구
26290-00034,소공원,소공원,부산광역시 남구 동항로106번길 23-10 일원,부산광역시 남구 우암동 127-91일원,35.127351,129.072618,650,-,-,-,-,-,2008-07-02,-,-,2018-08-14,3310000,부산광역시 남구
26290-00035,문화공원A,문화공원,-,부산광역시 남구 문현동 1227-1일원,35.148345,129.064098,3543,-,-,-,-,-,2008-12-12,-,-,2018-08-14,3310000,부산광역시 남구
26290-00036,문화공원,문화공원,-,부산광역시 남구 대연동 1864,35.139525,129.103957,6811,-,-,-,-,-,2008-12-12,-,-,2018-08-14,3310000,부산광역시 남구
26290-00037,대연혁신도시 어린이공원,어린이공원,-,부산광역시 남구 대연동 1860,35.142273,129.099601,4330.6,-,-,-,-,-,2008-12-12,-,-,2018-08-14,3310000,부산광역시 남구
26290-00038,대동골소공원,소공원,부산광역시 남구 황령대로319번가길 170 일원,부산광역시 남구 대연동 243-10일원,35.151402,129.088713,1227,-,-,-,-,-,2012-05-30,-,-,2018-08-14,3310000,부산광역시 남구
26290-00039,문화공원B,문화공원,-,부산광역시 남구 문현동 1228-6일원,35.146713,129.064177,2257,-,-,-,-,-,2013-01-22,-,-,2018-08-14,3310000,부산광역시 남구
26290-00040,감만당집마루 소공원,소공원,부산광역시 남구 무민사로33번길 11-15,부산광역시 남구 감만동 463-1,35.112918,129.080306,1193,-,-,-,-,-,2014-02-26,-,-,2018-08-14,3310000,부산광역시 남구
26290-00041,무제등소공원,소공원,-,부산광역시 남구 용당동 24-2일원,35.107143,129.104494,4955,-,-,-,-,-,2016-08-31,-,-,2018-08-14,3310000,부산광역시 남구
26290-00042,소공원,소공원,부산광역시 남구 황령대로492번길 15 일원,부산광역시 남구 대연동 1808-4일원,35.137819,129.106734,2310,-,-,-,-,-,2012-10-31,-,-,2018-08-14,3310000,부산광역시 남구
26470-00020,강변공원,소공원,-,부산광역시 연제구 연산동 2318,35.18413,129.113548,196.8,-,-,-,-,벤치 등,2014-04-17,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00019,토곡근린공원,근린공원,-,부산광역시 연제구 연산동 2223,35.179538,129.10923,18854,-,-,-,-,파고라 및 체력단련시설 등,1984-11-01,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00018,연천공원,소공원,-,부산광역시 연제구 연산동 2313,35.189688,129.09962,1908,-,-,-,-,파고라 및 체력단련시설 등,2009-12-09,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00017,월륜공원,소공원,-,부산광역시 연제구 연산동 2307,35.184006,129.1136,1044,-,-,-,-,파고라 및 벤치 등,2012-04-25,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00016,연이공원,소공원,-,부산광역시 연제구 연산동 2304외1,35.174228,129.08366,818.4,-,-,-,-,파고라 및 벤치 등,2010-07-21,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00015,옛골공원,소공원,-,부산광역시 연제구 연산동 2274,35.187219,129.09019,2764,-,-,-,-,파고라 및 체력단련시설 등,2006-12-27,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00014,쌍미공원,소공원,-,부산광역시 연제구 연산동 2272,35.188035,129.0875,1209,-,-,-,-,파고라 및 벤치 등,2006-12-27,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00013,연화공원,소공원,-,부산광역시 연제구 연산동 1431-1,35.17892,129.07656,2127,-,-,-,-,체력단련시설 및 벤치 등,2006-05-24,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00012,한들공원,어린이공원,-,부산광역시 연제구 연산동 2314,35.190279,129.09573,3369.9,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,2009-12-09,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00011,한빛공원,어린이공원,-,부산광역시 연제구 연산동 2273,35.189175,129.0913,1515,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,2006-12-27,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00010,햇살공원,어린이공원,-,부산광역시 연제구 연산동 2235-5,35.177969,129.11194,1610,-,-,-,-,파고라 및 체력단련시설 등,1990-06-01,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00009,연잎공원,어린이공원,-,부산광역시 연제구 연산동 477-1,35.185983,129.10832,1588.2,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1973-01-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00008,과정공원,어린이공원,-,부산광역시 연제구 연산동 407,35.187544,129.10201,1946.5,게이트볼장,조합놀이대 등,화장실,-,파고라 및 체력단련시설 등,1973-01-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00007,새싹공원,어린이공원,-,부산광역시 연제구 연산동 2132-1,35.1756,129.09275,619.8,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1969-12-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00006,꿈나무공원,어린이공원,-,부산광역시 연제구 연산동 1478-1,35.184527,129.07617,1665.8,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1965-12-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00005,연봉공원,어린이공원,-,부산광역시 연제구 연산동 631-6,35.186063,129.08458,1347,-,조합놀이대 등,-,-,파고라 및 벤치 등,1965-12-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00004,늘푸른공원,어린이공원,-,부산광역시 연제구 연산동 789,35.17952,129.08168,1869.8,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1965-12-31,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00003,거제체육공원,체육공원,-,부산광역시 연제구 거제동 1468-15,35.195288,129.08222,5848.5,게이트볼장,-,-,-,파고라 및 체력단련시설 등,2003-02-12,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00002,어울림공원,어린이공원,-,부산광역시 연제구 거제동 1480,35.191727,129.07075,3780.5,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1995-10-20,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26470-00001,한마음공원,어린이공원,-,부산광역시 연제구 거제동 1482-1,35.19368,129.07265,2788.1,-,조합놀이대 등,-,-,파고라 및 체력단련시설 등,1995-10-20,연제구청 경제진흥과,051-665-4534,2018-04-04,3370000,부산광역시 연제구
26230-00001,연지공원,근린공원,부산광역시 부산진구 성지로113번나길27-8(초읍동),부산광역시 부산진구 초읍동 산66-1,35.1783403,129.0513124,60490,-,-,-,-,-,1944-01-03,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00002,양정공원,근린공원,-,부산광역시 부산진구 전포동 109-1,35.1681059,129.0680075,9252,-,조합놀이대,화장실,-,-,1944-01-03,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00003,어린이대공원,근린공원,부산광역시 부산진구 새싹로296(초읍동),부산광역시 부산진구 초읍동 43,35.1870883,129.0386591,4947290,-,-,-,-,-,1978-09-21,부산시설공단,051-860-7848,2018-04-05,3290000,부산광역시 부산진구
26230-00004,가야산책공원,근린공원,-,부산광역시 부산진구 가야동 669-11,35.1477989,129.0273201,14292,-,목마시소,-,-,-,1982-04-07,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00005,개금테마공원,근린공원,부산광역시 부산진구 백양대로208번길 70(개금동),부산광역시 부산진구 개금동 56,35.1610077,129.0260603,28881,풋살운동장,"""조합놀이대, 그네, 시소""",화장실,-,-,1986-01-07,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00006,화지공원,근린공원,-,부산광역시 부산진구 양정동 477-29,35.1717241,129.0718241,391299,-,-,-,-,-,1985-09-28,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00007,가야공원,근린공원,-,부산광역시 부산진구 가야동 산11,35.1522506,129.0419191,55526,-,-,-,-,-,1995-05-16,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00008,백양가족공원,근린공원,-,부산광역시 부산진구 당감동 794-2,35.1731395,129.0286135,16375,-,"""조합놀이대, 흔들놀이""",-,-,-,1994-08-09,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00009,시민공원,근린공원,부산광역시 부산진구 시민공원로 73(범전동),부산광역시 부산진구 범전동 195,35.1671061,129.0546641,470758,-,-,화장실,-,"""세미나실, 공연장""",2004-08-19,부산시설공단,051-850-6000,2018-04-05,3290000,부산광역시 부산진구
26230-00010,돌산공원,근린공원,부산광역시 부산진구 진남로283번길33(전포동),부산광역시 부산진구 전포동 산65-3,35.1494392,129.0721831,41446,-,-,화장실,-,야외 공연장,1944-01-08,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00011,백양어린이공원,어린이공원,-,부산광역시 부산진구 초읍동 181-1,35.1812528,129.0521228,640.3,-,조합놀이대,-,-,-,1965-05-03,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00012,개나리어린이공원,어린이공원,-,부산광역시 부산진구 개금동 53-4,35.1608739,129.0289772,1904.2,-,"""조합놀이대, 그네""",-,-,-,1986-01-07,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00013,솔바람어린이공원,어린이공원,-,부산광역시 부산진구 당감동 516-5,35.1611801,129.0314583,3351.8,-,"""조합놀이대, 흔들놀이대""",-,-,-,1988-09-08,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00014,화목어린이공원,어린이공원,-,부산광역시 부산진구 개금동 1-2,35.1625589,129.0229822,3920.3,-,조합놀이대,화장실,-,-,1990-08-27,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00015,까치어린이공원,어린이공원,-,부산광역시 부산진구 개금동 1-10,35.1633338,129.0254605,3796.5,-,"""조합놀이대, 건너는기구""",-,-,-,1990-08-27,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00016,백두어린이공원,어린이공원,-,부산광역시 부산진구 당감동 794-1,35.1723937,129.0258893,1655.4,-,조합놀이대,-,-,-,1994-12-24,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00017,미리내어린이공원,어린이공원,-,부산광역시 부산진구 당감동 796-3,35.1718501,129.0290792,2969.2,배드민턴장,"""시소, 흔들놀이기구""",-,-,-,1994-12-24,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00018,색동어린이공원,어린이공원,-,부산광역시 부산진구 당감동 796-1,35.1728201,129.0301309,1681.5,-,조합놀이대,-,-,-,1994-12-24,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00019,은하수어린이공원,어린이공원,-,부산광역시 부산진구 부암동 721,35.1746046,129.0315324,1630.9,-,"""미끄럼틀, 시소""",-,-,-,1988-09-08,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00020,동양어린이공원,어린이공원,-,부산광역시 부산진구 부암동 726,35.1761836,129.0299758,1554.3,-,"""미끄럼틀, 시소""",-,-,-,1994-12-24,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00021,새싹어린이공원,어린이공원,부산광역시 부산진구 새싹로 230번길19(초읍동),부산광역시 부산진구 초읍동 257,35.1768303,129.0493521,406,-,-,-,-,-,1965-05-03,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00022,연지어린이공원,어린이공원,-,부산광역시 부산진구 연지동 48,35.1731336,129.0557013,1597.4,-,"""조합놀이대, 흔들놀이기구""",-,-,-,1969-12-18,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00023,꿈동산어린이공원,어린이공원,-,부산광역시 부산진구 양정동 91-2,35.1743993,129.0774871,1775.2,-,"""조합놀이대, 시소, 흔들놀이기구""",-,-,-,1961-02-15,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00024,어린이공원,어린이공원,부산광역시 부산진구 양정로3번길21,부산광역시 부산진구 양정동 106-5,35.1739093,129.0749062,3230,-,-,-,-,-,2009-12-23,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00025,전포201재개발,어린이공원,부산광역시 부산진구 동성로46번길 68(전포동),부산광역시 부산진구 전포동 415-7,35.1541799,129.0711269,2151,-,-,-,-,-,2005-12-14,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00026,양정1재개발,어린이공원,부산광역시 부산진구 양정로 73-5(양정동),부산광역시 부산진구 양정동 32-138,35.1710826,129.0777374,1754,-,-,-,-,-,2005-06-22,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00027,부암동61001,어린이공원,부산광역시 부산진구 용사촌로46-16(부암동),부산광역시 부산진구 부암동 610-1,35.1750359,129.0339168,1536,-,-,-,-,-,2006-09-06,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00028,부암동59801,어린이공원,부산광역시 부산진구 용사촌로24번길 9(부암동),부산광역시 부산진구 부암동 598-1,35.1728638,129.0341011,2119,-,-,-,-,-,2006-09-06,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00029,어린이공원,어린이공원,부산광역시 부산진구 대학로 39(가야동),부산광역시 부산진구 가야동 337-5,35.1520479,129.0358055,2944,-,-,-,-,-,2007-01-02,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26230-00030,어린이공원,어린이공원,부산광역시 부산진구 동평로131번나길 20,부산광역시 부산진구 부암동 320-44,35.1679561,129.0446715,3110,-,-,-,-,-,2008-08-06,부산광역시 부산진구청,051-605-4544,2018-04-05,3290000,부산광역시 부산진구
26320-00072,화명중앙공원,문화공원,-,부산광역시 북구 화명동  2292-1,35.233152,129.008101,11977.5,5,-,파고라,-,화장실,2012-08-01,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00071,구포문화공원,문화공원,-,부산광역시 북구 구포동  782-43,35.201017,129.000791,93552,-,-,-,-,-,2006-04-26,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00070,화정근린공원,근린공원,-,부산광역시 북구 화명동 2328,35.229995,129.011566,10051.1,3,흔들놀이,파고라,-,화장실,2012-07-04,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00069,만덕사지당간지주역사공원,근린공원,-,부산광역시 북구 만덕동  784,35.215768,129.043395,349,-,-,-,-,-,2016-08-16,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00068,수정근린공원,근린공원,-,부산광역시 북구 화명동 2321,35.223098,129.006387,10016,7,-,파고라,-,-,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00067,현충근린공원,근린공원,-,부산광역시 북구 화명동 2304,35.229211,129.007882,10002,7,-,파고라,-,화장실,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00066,명진근린공원,근린공원,-,부산광역시 북구 화명동 2260,35.238961,129.009497,10001,12,-,파고라,-,-,2001-10-12,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00065,화명3택지지구(양달숲공원),근린공원,-,부산광역시 북구 화명동 187,35.244866,129.015053,22525,-,-,-,-,-,1995-12-16,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00064,화명근린공원,근린공원,-,부산광역시 북구 화명동  918-2,35.224411,129.014814,70396,10조12종,"""조합놀이대,그네,흔들놀이""",파고라,-,화장실,2002-08-02,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00063,만덕근린공원,근린공원,-,부산광역시 북구 만덕동 산100,35.211951,129.042187,118500,0,-,-,-,-,2012-07-11,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00062,백양근린공원,근린공원,부산광역시 북구 은행나무로26,부산광역시 북구 만덕동 843,35.206985,129.036694,263817.6,5조9종,"""조합놀이대,그네,흔들놀이""",파고라,-,-,1999-11-08,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00061,덕천근린공원,근린공원,-,부산광역시 북구 덕천동 산39,35.217156,129.007427,154484,10,-,파고라,-,-,1997-10-08,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00060,덕천개발지구(휴공원),근린공원,-,부산광역시 북구 덕천동 807,35.208668,129.012987,12741,11조14종,-,파고라,-,-,1993-12-01,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00059,금곡근린공원,근린공원,부산광역시 북구 효열로158,부산광역시 북구 금곡동 100-1,35.259721,129.016336,11908.9,0,조합놀이대,-,-,-,1997-06-25,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00058,구포생태근린공원,근린공원,부산광역시 북구 시랑로1250-18,부산광역시 북구 구포동 1250-18,35.194341,129.011065,7640,-,-,-,-,-,1990-09-14,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00057,백양숲공원,근린공원,-,부산광역시 북구 구포동 1245,35.194642,129.014213,11853,-,-,-,-,-,1981-05-30,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00056,덕천소공원,소공원,부산광역시 북구 만덕대로89번길17,부산광역시 북구 덕천동 358-6,35.213246,129.014132,1281,-,-,-,-,-,2013-08-28,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00055,만덕소공원,소공원,부산광역시 북구 만덕1로42번길33-20,부산광역시 북구 만덕동 826-17,35.216408,129.033278,2399,0,-,-,-,-,2015-10-21,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00054,사기천소공원,소공원,-,부산광역시 북구 만덕동  447-6일원,35.214862,129.043906,221,-,-,-,-,-,2016-08-17,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00053,거북소공원,소공원,-,부산광역시 북구 구포동 882-30,35.197822,129.001932,742,0,-,파고라,-,-,2011-03-09,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00052,와석소공원,소공원,-,부산광역시 북구 화명동 1417-12,35.235647,129.014981,670,6,"""조합놀이대,흔들놀이""",파고라,-,-,2013-08-28,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00051,희망공원,어린이공원,-,부산광역시 북구 화명동 2311,35.226661,129.009744,1500.2,0,조합놀이대,파고라,-,-,1996-01-12,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00050,행복공원,어린이공원,-,부산광역시 북구 금곡동 810-2,35.258709,129.016239,3325.2,8,"""조합놀이대,흔들놀이""",파고라,-,-,1992-10-23,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00049,함박공원,어린이공원,부산광역시 북구 은행나무로36번길17,부산광역시 북구 만덕동 853-1,35.206145,129.038715,1528.8,9,조합놀이대,0,-,경로당,1982-03-23,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00048,한빛공원,어린이공원,부산광역시 북구 만덕1로41-13,부산광역시 북구 만덕동 831,35.214111,129.033025,747,0,"""조합놀이대,그네""",파고라,-,-,1976-04-15,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
26320-00047,한마음공원,어린이공원,-,부산광역시 북구 만덕동 922-2,35.212071,129.031585,2886.2,3,조합놀이대,파고라,-,화장실,1987-04-10,부산광역시 북구청 청정녹지과,051-309-2054,2018-08-30,3320000,부산광역시 북구
